"plant","classification"
"sao den","mainpl"
"keo","mainpl"
"tre (mang)","mainpl"
"sau rieng","mainpl"
"giang huong","mainpl"
"keo la tram","mainpl"
"gio bau","mainpl"
"tram","mainpl"
"sao","mainpl"
"su su","mainpl"
"bua","mainpl"
"bo","mainpl"
"mit","mainpl"
"su","mainpl"
"cam quyt","mainpl"
"go do","mainpl"
"mat meo","mainpl"
"dau da","mainpl"
"hong quan","mainpl"
"tre (mang)","intercr"
"sau rieng","intercr"
"bo","intercr"
"chuoi","intercr"
"dau xanh","intercr"
"mang cau","intercr"
"cam quyt","intercr"
"su su","intercr"
"dau ve","intercr"
"mit","intercr"
"dau da","intercr"
"hong quan","intercr"
"dau","intercr"
"tieu","intercr"
"dua","intercr"
"chanh","intercr"
"mang cut","intercr"
"chom chom","intercr"
"quyt","intercr"
"saboche","intercr"
"buoi","intercr"
"khoai lun","intercr"
"so ri","intercr"
"dinh lang","intercr"
"xoai","intercr"
"nghe","intercr"
"oi","intercr"
"vu sua","intercr"
"sapoche","intercr"
